age_grps,state_names,initial_period,accuracy_step,time_horizon,startYear,startMonth,monthlyBirths,xi,phi,q,gamma0,gammaR,omegaVac,lambda,sigmaR,pM,rho,omegaM,alpha,mortality,SigmaL,SigmaL,SigmaL,SigmaU,SigmaU,SigmaU,Omega,Omega,Omega,kaging,pLRTI,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,contact_adj,ns
23,SV2IR,,,,,,,,,,,,,,,,,,,0.001190833,0.112083887,0.137981512,0.163879138,0.183673556,0.207483144,0.231292732,0.0625,0.0625,0.020833333,0.016666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
24,UV2IR,,,,,,,,,,,,,,,,,,,0.002420917,0.112083887,0.137981512,0.163879138,0.183673556,0.207483144,0.231292732,0.0625,0.0625,0.020833333,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
25,LV2IR,,,,,,,,,,,,,,,,,,,0.011685708,0.112083887,0.137981512,0.163879138,0.183673556,0.207483144,0.231292732,0.0625,0.0625,0.020833333,0.004166667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
26,RV2IR,,,,,,,,,,,,,,,,,,,0.02285,0.112083887,0.137981512,0.163879138,0.183673556,0.207483144,0.231292732,0.0625,0.0625,0.020833333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
,SV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MV0I0,0,20,7,2023,1,327692.7,0.006838478,-1.546564193,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.128356968,0.492610837,1,0.0004475,0.210697221,0.335417928,0.591077069,0.196850663,0.323759318,0.604136859,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,2.52408044
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.459124578,0.0004475,0.210697221,0.335417928,0.591077069,0.196850663,0.323759318,0.604136859,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.210697221,0.335417928,0.591077069,0.196850663,0.323759318,0.604136859,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.459124578,0.0004475,0.210697221,0.335417928,0.591077069,0.196850663,0.323759318,0.604136859,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.210697221,0.335417928,0.591077069,0.196850663,0.323759318,0.604136859,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.459124578,0.0004475,0.210697221,0.335417928,0.591077069,0.196850663,0.323759318,0.604136859,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.459124578,0.0004475,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.459124578,0.0004475,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
11,SV1I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
12,UV1I0,,,,,,,,,,,,,,,0.65,,,0.459124578,0.0004475,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
13,LV1I0,,,,,,,,,,,,,,,,,,1,0.0000373,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
14,RV1I0,,,,,,,,,,,,,,,,,,0.459124578,0.0000373,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
15,SV1IR,,,,,,,,,,,,,,,,,,1,0.0000373,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
16,UV1IR,,,,,,,,,,,,,,,,,,0.459124578,0.0000373,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
17,LV1IR,,,,,,,,,,,,,,,,,,,0.00000906,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.010416667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
18,RV1IR,,,,,,,,,,,,,,,,,,,0.0000301,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.011904762,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
19,SV2I0,,,,,,,,,,,,,,,,,,,0.000071,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
20,UV2I0,,,,,,,,,,,,,,,,,,,0.000149333,0.204661414,0.290627467,0.56026365,0.033302485,0.137790273,0.488634845,0.1,0.1,0.090909091,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
21,LV2I0,,,,,,,,,,,,,,,,,,,0.000452083,0.129108089,0.334917465,0.609329967,0.248010734,0.42572101,0.633049665,0.333333333,0.333333333,0.25,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
22,RV2I0,,,,,,,,,,,,,,,,,,,0.000800167,0.129108089,0.334917465,0.609329967,0.248010734,0.42572101,0.633049665,0.333333333,0.333333333,0.25,0.016666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
23,SV2IR,,,,,,,,,,,,,,,,,,,0.001190833,0.129108089,0.334917465,0.609329967,0.248010734,0.42572101,0.633049665,0.333333333,0.333333333,0.25,0.016666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
24,UV2IR,,,,,,,,,,,,,,,,,,,0.002420917,0.129108089,0.334917465,0.609329967,0.248010734,0.42572101,0.633049665,0.333333333,0.333333333,0.25,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
25,LV2IR,,,,,,,,,,,,,,,,,,,0.011685708,0.129108089,0.334917465,0.609329967,0.248010734,0.42572101,0.633049665,0.333333333,0.333333333,0.25,0.004166667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
26,RV2IR,,,,,,,,,,,,,,,,,,,0.02285,0.129108089,0.334917465,0.609329967,0.248010734,0.42572101,0.633049665,0.333333333,0.333333333,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.005415537,
,SV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MV0I0,0,20,7,2023,1,327692.7,0.021141873,-2.117387412,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.201907577,0.492610837,1,0.0004475,0.217317306,0.347003078,0.602662219,0.091106762,0.241704855,0.561681066,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,2.005408832
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.42070701,0.0004475,0.217317306,0.347003078,0.602662219,0.091106762,0.241704855,0.561681066,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.217317306,0.347003078,0.602662219,0.091106762,0.241704855,0.561681066,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.42070701,0.0004475,0.217317306,0.347003078,0.602662219,0.091106762,0.241704855,0.561681066,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.217317306,0.347003078,0.602662219,0.091106762,0.241704855,0.561681066,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.42070701,0.0004475,0.217317306,0.347003078,0.602662219,0.091106762,0.241704855,0.561681066,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.42070701,0.0004475,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.42070701,0.0004475,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
11,SV1I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
12,UV1I0,,,,,,,,,,,,,,,0.65,,,0.42070701,0.0004475,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
13,LV1I0,,,,,,,,,,,,,,,,,,1,0.0000373,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
14,RV1I0,,,,,,,,,,,,,,,,,,0.42070701,0.0000373,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
15,SV1IR,,,,,,,,,,,,,,,,,,1,0.0000373,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
16,UV1IR,,,,,,,,,,,,,,,,,,0.42070701,0.0000373,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
17,LV1IR,,,,,,,,,,,,,,,,,,,0.00000906,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.010416667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
18,RV1IR,,,,,,,,,,,,,,,,,,,0.0000301,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.011904762,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
19,SV2I0,,,,,,,,,,,,,,,,,,,0.000071,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
20,UV2I0,,,,,,,,,,,,,,,,,,,0.000149333,0.233197889,0.35974915,0.592636429,0.16791754,0.30524252,0.578095193,0.1,0.1,0.111111111,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
21,LV2I0,,,,,,,,,,,,,,,,,,,0.000452083,0.21944575,0.44707114,0.646243356,0.137616393,0.389104877,0.640593361,0.25,0.25,0.25,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
22,RV2I0,,,,,,,,,,,,,,,,,,,0.000800167,0.21944575,0.44707114,0.646243356,0.137616393,0.389104877,0.640593361,0.25,0.25,0.25,0.016666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
23,SV2IR,,,,,,,,,,,,,,,,,,,0.001190833,0.21944575,0.44707114,0.646243356,0.137616393,0.389104877,0.640593361,0.25,0.25,0.25,0.016666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
24,UV2IR,,,,,,,,,,,,,,,,,,,0.002420917,0.21944575,0.44707114,0.646243356,0.137616393,0.389104877,0.640593361,0.25,0.25,0.25,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
25,LV2IR,,,,,,,,,,,,,,,,,,,0.011685708,0.21944575,0.44707114,0.646243356,0.137616393,0.389104877,0.640593361,0.25,0.25,0.25,0.004166667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
26,RV2IR,,,,,,,,,,,,,,,,,,,0.02285,0.21944575,0.44707114,0.646243356,0.137616393,0.389104877,0.640593361,0.25,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.014689484,
,SV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MV0I0,0,20,7,2023,1,327692.7,0.014106298,-1.289191441,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.141315977,0.492610837,1,0.0004475,0.208196154,0.331041062,0.606584803,0.083377249,0.225587265,0.544567355,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,2.189792917
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.532046681,0.0004475,0.208196154,0.331041062,0.606584803,0.083377249,0.225587265,0.544567355,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.208196154,0.331041062,0.606584803,0.083377249,0.225587265,0.544567355,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.532046681,0.0004475,0.208196154,0.331041062,0.606584803,0.083377249,0.225587265,0.544567355,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.208196154,0.331041062,0.606584803,0.083377249,0.225587265,0.544567355,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.532046681,0.0004475,0.208196154,0.331041062,0.606584803,0.083377249,0.225587265,0.544567355,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.985222835,
