age_grps,state_names,initial_period,accuracy_step,time_horizon,startYear,startMonth,monthlyBirths,xi,phi,q,gamma0,gammaR,omegaVac,lambda,sigmaR,pM,rho,omegaM,alpha,mortality,SigmaL,SigmaL,SigmaL,SigmaU,SigmaU,SigmaU,Omega,Omega,Omega,kaging,pLRTI,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,contact_adj,ns
1,MV0I0,0,20,7,2023,1,327692.7,0.021054705,-1.683880163,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.09272838,0.492610837,1,0.0004475,0.210064943,0.334311443,0.609855184,0.208932577,0.333357183,0.609295914,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,2.426492027
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.543579309,0.0004475,0.210064943,0.334311443,0.609855184,0.208932577,0.333357183,0.609295914,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.210064943,0.334311443,0.609855184,0.208932577,0.333357183,0.609295914,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.543579309,0.0004475,0.210064943,0.334311443,0.609855184,0.208932577,0.333357183,0.609295914,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.210064943,0.334311443,0.609855184,0.208932577,0.333357183,0.609295914,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.543579309,0.0004475,0.210064943,0.334311443,0.609855184,0.208932577,0.333357183,0.609295914,0.142857143,0.142857143,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.266693476,0.425832808,0.631840389,0.227699358,0.395301041,0.612263228,0.111111111,0.111111111,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.543579309,0.0004475,0.266693476,0.425832808,0.631840389,0.227699358,0.395301041,0.612263228,0.111111111,0.111111111,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.266693476,0.425832808,0.631840389,0.227699358,0.395301041,0.612263228,0.111111111,0.111111111,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.543579309,0.0004475,0.266693476,0.425832808,0.631840389,0.227699358,0.395301041,0.612263228,0.111111111,0.111111111,0.125,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.962027096,
