age_grps,state_names,initial_period,accuracy_step,time_horizon,startYear,startMonth,monthlyBirths,xi,phi,q,gamma0,gammaR,omegaVac,lambda,sigmaR,pM,rho,omegaM,alpha,mortality,SigmaL,SigmaL,SigmaL,SigmaU,SigmaU,SigmaU,Omega,Omega,Omega,kaging,pLRTI,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,contact_adj,ns
1,MV0I0,0,20,7,2023,1,327692.7,0.011840729,-1.40928575,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.067029589,0.492610837,1,0.0004475,0.213602651,0.379662205,0.646115844,0.078730759,0.273270529,0.608717503,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,2.841356476
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.546183169,0.0004475,0.213602651,0.379662205,0.646115844,0.078730759,0.273270529,0.608717503,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.213602651,0.379662205,0.646115844,0.078730759,0.273270529,0.608717503,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.546183169,0.0004475,0.213602651,0.379662205,0.646115844,0.078730759,0.273270529,0.608717503,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.213602651,0.379662205,0.646115844,0.078730759,0.273270529,0.608717503,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.546183169,0.0004475,0.213602651,0.379662205,0.646115844,0.078730759,0.273270529,0.608717503,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.546183169,0.0004475,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.546183169,0.0004475,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
11,SV1I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
12,UV1I0,,,,,,,,,,,,,,,0.65,,,0.546183169,0.0004475,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
13,LV1I0,,,,,,,,,,,,,,,,,,1,3.73E-05,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
14,RV1I0,,,,,,,,,,,,,,,,,,0.546183169,3.73E-05,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
15,SV1IR,,,,,,,,,,,,,,,,,,1,3.73E-05,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
16,UV1IR,,,,,,,,,,,,,,,,,,0.546183169,3.73E-05,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
17,LV1IR,,,,,,,,,,,,,,,,,,,9.06E-06,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.010416667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
18,RV1IR,,,,,,,,,,,,,,,,,,,3.01E-05,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.011904762,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
19,SV2I0,,,,,,,,,,,,,,,,,,,7.10E-05,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
20,UV2I0,,,,,,,,,,,,,,,,,,,0.000149333,0.223475403,0.336199129,0.587429313,0.172183695,0.292353151,0.560177819,0.1,0.1,0.111111111,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
21,LV2I0,,,,,,,,,,,,,,,,,,,0.000452083,0.110915743,0.33960955,0.600973901,0.18179939,0.392260222,0.617753971,0.142857143,0.142857143,0.125,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
22,RV2I0,,,,,,,,,,,,,,,,,,,0.000800167,0.110915743,0.33960955,0.600973901,0.18179939,0.392260222,0.617753971,0.142857143,0.142857143,0.125,0.016666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
23,SV2IR,,,,,,,,,,,,,,,,,,,0.001190833,0.110915743,0.33960955,0.600973901,0.18179939,0.392260222,0.617753971,0.142857143,0.142857143,0.125,0.016666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
24,UV2IR,,,,,,,,,,,,,,,,,,,0.002420917,0.110915743,0.33960955,0.600973901,0.18179939,0.392260222,0.617753971,0.142857143,0.142857143,0.125,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
25,LV2IR,,,,,,,,,,,,,,,,,,,0.011685708,0.110915743,0.33960955,0.600973901,0.18179939,0.392260222,0.617753971,0.142857143,0.142857143,0.125,0.004166667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
26,RV2IR,,,,,,,,,,,,,,,,,,,0.02285,0.110915743,0.33960955,0.600973901,0.18179939,0.392260222,0.617753971,0.142857143,0.142857143,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.969354447,
,SV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV3IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MV0I0,0,20,7,2023,1,327692.7,0.021392341,-0.628243028,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.115154879,0.492610837,1,0.0004475,0.213565398,0.3796026,0.646056238,0.0771389,0.271979354,0.607990029,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,1.974327151
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.467107657,0.0004475,0.213565398,0.3796026,0.646056238,0.0771389,0.271979354,0.607990029,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.213565398,0.3796026,0.646056238,0.0771389,0.271979354,0.607990029,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.467107657,0.0004475,0.213565398,0.3796026,0.646056238,0.0771389,0.271979354,0.607990029,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.213565398,0.3796026,0.646056238,0.0771389,0.271979354,0.607990029,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.467107657,0.0004475,0.213565398,0.3796026,0.646056238,0.0771389,0.271979354,0.607990029,0.125,0.125,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.467107657,0.0004475,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.467107657,0.0004475,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
11,SV1I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
12,UV1I0,,,,,,,,,,,,,,,0.65,,,0.467107657,0.0004475,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
13,LV1I0,,,,,,,,,,,,,,,,,,1,0.0000373,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
14,RV1I0,,,,,,,,,,,,,,,,,,0.467107657,0.0000373,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
15,SV1IR,,,,,,,,,,,,,,,,,,1,0.0000373,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
16,UV1IR,,,,,,,,,,,,,,,,,,0.467107657,0.0000373,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.083333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
17,LV1IR,,,,,,,,,,,,,,,,,,,0.00000906,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.010416667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
18,RV1IR,,,,,,,,,,,,,,,,,,,0.0000301,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.011904762,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
19,SV2I0,,,,,,,,,,,,,,,,,,,0.000071,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
20,UV2I0,,,,,,,,,,,,,,,,,,,0.000149333,0.234183733,0.339140159,0.576242415,0.175400842,0.288413563,0.543715427,0.111111111,0.111111111,0.1,0.005555556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
21,LV2I0,,,,,,,,,,,,,,,,,,,0.000452083,0.186317834,0.422481138,0.635028112,0.178800099,0.417145352,0.63165608,0.2,0.2,0.25,0.008333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.040094781,
