age_grps,state_names,initial_period,accuracy_step,time_horizon,startYear,startMonth,monthlyBirths,xi,phi,q,gamma0,gammaR,omegaVac,lambda,sigmaR,pM,rho,omegaM,alpha,mortality,SigmaL,SigmaL,SigmaL,SigmaU,SigmaU,SigmaU,Omega,Omega,Omega,kaging,pLRTI,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,contact_adj,ns
1,MV0I0,0,20,7,2023,1,327692.7,0.016007023,-1.981239117,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.195715596,0.492610837,1,0.0004475,0.208573884,0.33170209,0.607245831,0.265995802,0.380190441,0.617300235,0.142857143,0.142857143,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,2.081056997
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.470063276,0.0004475,0.208573884,0.33170209,0.607245831,0.265995802,0.380190441,0.617300235,0.142857143,0.142857143,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.208573884,0.33170209,0.607245831,0.265995802,0.380190441,0.617300235,0.142857143,0.142857143,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.470063276,0.0004475,0.208573884,0.33170209,0.607245831,0.265995802,0.380190441,0.617300235,0.142857143,0.142857143,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.208573884,0.33170209,0.607245831,0.265995802,0.380190441,0.617300235,0.142857143,0.142857143,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.470063276,0.0004475,0.208573884,0.33170209,0.607245831,0.265995802,0.380190441,0.617300235,0.142857143,0.142857143,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.20461602,0.290517511,0.560152686,0.048017523,0.150831656,0.496314758,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.470063276,0.0004475,0.20461602,0.290517511,0.560152686,0.048017523,0.150831656,0.496314758,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.20461602,0.290517511,0.560152686,0.048017523,0.150831656,0.496314758,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.470063276,0.0004475,0.20461602,0.290517511,0.560152686,0.048017523,0.150831656,0.496314758,0.1,0.1,0.090909091,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.997382941,
